borrower_id,borrower_name,state,sector,branch_id,loan_officer_id,disbursal_date,loan_amount,interest_rate,tenure_months,monthly_income,emi_amount,emi_to_income_ratio,credit_score,bounce_count_6m,dpd_current,gst_filing,collateral_type,prior_defaults,risk_category,loan_status,default
BRW_00001,Ati Borra,Punjab,Chemicals,BR_05,LO_002,2023-10-17,1000000,15.06,36,241375,34694,0.144,680,1,90,Non-Filer,Unsecured,0,Critical,NPA,1
BRW_00002,Wahab Loyal,West Bengal,Food & Beverage,BR_17,LO_026,2022-04-25,1500000,16.55,24,495439,73839,0.149,762,6,90,Non-Filer,Property,0,Critical,NPA,1
BRW_00003,Yash Sen,Maharashtra,Construction,BR_11,LO_001,2022-01-26,5000000,13.97,60,937809,116263,0.124,670,6,30,Irregular,Gold,1,Critical,Stressed,0
BRW_00004,Advay Deep,Tamil Nadu,Chemicals,BR_09,LO_028,2024-01-30,1000000,13.78,48,166155,27216,0.164,807,5,60,Regular,Property,1,Critical,Stressed,1
BRW_00005,Peter Palan,Madhya Pradesh,Agri Processing,BR_20,LO_008,2022-10-09,10000000,14.81,48,3195283,277345,0.087,585,5,0,Regular,Property,0,Critical,Defaulted,1
BRW_00006,Vinaya Date,Delhi,Electronics,BR_09,LO_031,2022-09-08,7500000,17.64,36,699719,269790,0.386,777,0,0,Irregular,Machinery,0,Green,Active,0
BRW_00007,Mahika Issac,Madhya Pradesh,Construction,BR_09,LO_039,2022-08-17,1500000,11.78,60,175236,33200,0.189,688,4,45,Regular,Machinery,2,Critical,Stressed,1
BRW_00008,Jonathan Ahluwalia,Haryana,Construction,BR_10,LO_019,2022-05-23,500000,17.13,24,51124,24752,0.484,775,5,60,Regular,Machinery,0,Critical,Stressed,1
BRW_00009,Karan Bava,Karnataka,Chemicals,BR_20,LO_013,2024-01-25,500000,14.08,48,153819,13683,0.089,793,1,30,Regular,Unsecured,0,Amber,Stressed,0
BRW_00010,Ekbal Halder,Delhi,Auto Parts,BR_06,LO_016,2022-04-15,500000,17.48,12,41432,45716,1.103,619,1,120,Irregular,Inventory,1,Critical,NPA,0
BRW_00011,Ryan Iyer,Maharashtra,Agri Processing,BR_04,LO_023,2023-11-24,500000,17.12,36,156323,17856,0.114,670,6,0,Regular,Property,0,Red,Active,0
BRW_00012,Meghana Pandya,Uttar Pradesh,Chemicals,BR_01,LO_011,2024-01-29,7500000,13.94,36,1513817,256113,0.169,808,1,45,Regular,Property,0,Red,Stressed,0
BRW_00013,Gauri Sant,Rajasthan,Agri Processing,BR_06,LO_024,2023-07-13,1000000,16.36,48,81086,28524,0.352,645,0,15,Regular,Machinery,0,Amber,Active,0
BRW_00014,Lopa Kala,Rajasthan,Agri Processing,BR_06,LO_010,2022-03-31,3000000,12.62,24,565332,142090,0.251,716,5,120,Irregular,Machinery,0,Critical,NPA,1
BRW_00015,Kevin Divan,Haryana,Electronics,BR_12,LO_005,2023-08-28,1000000,17.77,48,130436,29254,0.224,590,1,0,Non-Filer,Inventory,0,Red,Defaulted,1
BRW_00016,Aishani Shere,Punjab,Construction,BR_03,LO_012,2023-03-09,2000000,14.33,18,497176,124139,0.25,727,0,0,Regular,Property,2,Red,Active,0
BRW_00017,Kamala Johal,Uttar Pradesh,Food & Beverage,BR_13,LO_036,2022-02-02,5000000,14.69,48,1317134,138369,0.105,695,2,15,Regular,Gold,0,Amber,Active,0
BRW_00018,Rudra Ravi,Punjab,Electronics,BR_10,LO_026,2022-01-31,750000,16.44,60,158724,18414,0.116,622,5,45,Irregular,Property,0,Critical,Stressed,1
BRW_00019,Falan Gole,Maharashtra,Electronics,BR_09,LO_028,2022-04-06,3000000,17.25,60,272820,74961,0.275,810,5,0,Irregular,Machinery,1,Red,Active,0
BRW_00020,Qadim Shankar,Delhi,Agri Processing,BR_17,LO_016,2022-08-12,3000000,13.15,18,771464,184552,0.239,637,1,120,Irregular,Inventory,0,Critical,NPA,1
BRW_00021,Zayan Cheema,West Bengal,Retail Trade,BR_11,LO_002,2022-08-27,1000000,16.13,60,307350,24387,0.079,785,4,30,Irregular,Property,2,Red,Stressed,0
BRW_00022,Yahvi Ghosh,Telangana,Construction,BR_06,LO_026,2023-06-02,3000000,14.24,60,823462,70178,0.085,733,1,120,Non-Filer,Gold,0,Critical,NPA,1
BRW_00023,Balendra Majumdar,Punjab,Auto Parts,BR_10,LO_004,2023-09-09,2000000,14.08,12,608177,179649,0.295,617,1,30,Regular,Inventory,0,Amber,Stressed,0
BRW_00024,Kamala Nagy,Madhya Pradesh,Electronics,BR_18,LO_029,2022-01-28,750000,16.33,36,100603,26490,0.263,673,3,60,Regular,Inventory,1,Critical,Stressed,1
BRW_00025,Manbir Bassi,Gujarat,Food & Beverage,BR_14,LO_016,2023-07-29,10000000,14.21,60,3199997,233772,0.073,615,3,0,Irregular,Machinery,0,Red,Active,0
BRW_00026,Vivaan Aurora,Delhi,Retail Trade,BR_04,LO_022,2022-07-23,7500000,13.92,36,1252441,256040,0.204,809,3,0,Irregular,Unsecured,0,Amber,Active,0
BRW_00027,Riya Nayak,Karnataka,Retail Trade,BR_13,LO_006,2024-01-04,1000000,17.35,24,83619,49610,0.593,806,4,45,Regular,Inventory,2,Critical,Stressed,1
BRW_00028,Indrajit Parmer,Rajasthan,Auto Parts,BR_01,LO_028,2023-10-28,7500000,12.21,48,2307868,198277,0.086,762,1,0,Non-Filer,Machinery,0,Amber,Active,0
BRW_00029,Tara Yohannan,Tamil Nadu,Electronics,BR_20,LO_011,2023-12-20,10000000,16.23,12,3342917,908397,0.272,585,0,0,Irregular,Property,0,Amber,Defaulted,1
BRW_00030,Jonathan Bahri,Telangana,Food & Beverage,BR_02,LO_021,2023-07-13,1000000,13.24,18,257000,61559,0.24,710,5,0,Irregular,Property,1,Critical,Defaulted,1
BRW_00031,Jackson Sastry,Rajasthan,Construction,BR_03,LO_026,2023-03-06,1000000,11.61,24,142487,46891,0.329,644,5,60,Regular,Property,0,Critical,Stressed,1
BRW_00032,Zarna Kaul,Tamil Nadu,Textile,BR_20,LO_039,2022-08-14,750000,12.67,12,110978,66871,0.603,703,3,0,Regular,Unsecured,1,Critical,Active,0
BRW_00033,Gabriel Amble,Delhi,Food & Beverage,BR_03,LO_022,2023-04-05,7500000,15.75,12,1544850,679594,0.44,771,2,0,Irregular,Machinery,0,Amber,Active,0
BRW_00034,Aarini Hayer,Uttar Pradesh,Auto Parts,BR_06,LO_030,2023-08-27,500000,16.46,18,161207,31537,0.196,765,1,0,Regular,Unsecured,2,Red,Active,0
BRW_00035,Benjamin Sabharwal,West Bengal,Retail Trade,BR_07,LO_030,2022-10-12,7500000,11.65,18,902935,456146,0.505,696,1,0,Regular,Property,0,Amber,Active,0
BRW_00036,Oeshi Loyal,Madhya Pradesh,Construction,BR_11,LO_033,2024-04-08,5000000,11.75,36,1515064,165475,0.109,765,0,120,Non-Filer,Machinery,0,Critical,NPA,1
BRW_00037,Hemal Mistry,Tamil Nadu,Food & Beverage,BR_07,LO_040,2024-06-09,5000000,17.82,48,793258,146405,0.185,597,6,30,Non-Filer,Unsecured,0,Critical,Stressed,1
BRW_00038,Darsh Pradhan,West Bengal,Textile,BR_17,LO_030,2022-01-07,1000000,12.01,24,298318,47078,0.158,730,0,90,Regular,Property,0,Red,NPA,1
BRW_00039,Daksh Choudhary,Rajasthan,Textile,BR_19,LO_037,2024-02-17,500000,17.76,48,164236,14624,0.089,675,2,0,Irregular,Machinery,0,Red,Defaulted,1
BRW_00040,Vamakshi Khurana,Haryana,Agri Processing,BR_12,LO_030,2024-04-05,1500000,13.1,24,293135,71383,0.244,736,4,90,Regular,Unsecured,0,Critical,NPA,1
BRW_00041,Liam Banerjee,Madhya Pradesh,Agri Processing,BR_01,LO_026,2022-06-13,10000000,16.68,12,1785636,910529,0.51,730,0,75,Regular,Unsecured,0,Critical,Stressed,1
BRW_00042,Qarin Kibe,Rajasthan,Chemicals,BR_01,LO_006,2023-12-16,2000000,13.67,60,593199,46195,0.078,707,4,0,Irregular,Gold,0,Red,Active,0
BRW_00043,Tristan Baral,Gujarat,Auto Parts,BR_18,LO_004,2023-03-09,500000,17.51,60,111480,12563,0.113,615,4,0,Irregular,Gold,0,Red,Active,0
BRW_00044,Ladli Sarin,Haryana,Electronics,BR_10,LO_015,2022-12-15,2000000,16.4,18,529602,126091,0.238,649,6,75,Regular,Inventory,0,Critical,Stressed,1
BRW_00045,Tanmayi Narain,Telangana,Food & Beverage,BR_20,LO_036,2022-10-12,7500000,14.31,18,1861229,465454,0.25,788,4,15,Regular,Property,0,Red,Active,0
BRW_00046,Neel Murthy,Rajasthan,Food & Beverage,BR_03,LO_003,2022-06-09,7500000,12.03,12,909599,666471,0.733,789,6,75,Regular,Inventory,0,Critical,Stressed,1
BRW_00047,Zashil Rama,Tamil Nadu,Electronics,BR_14,LO_016,2022-08-09,2000000,16.63,12,616186,182058,0.295,674,0,15,Non-Filer,Unsecured,1,Red,Active,0
BRW_00048,Henry Walia,Tamil Nadu,Chemicals,BR_08,LO_016,2024-02-21,10000000,15.82,24,1328592,488771,0.368,713,6,0,Irregular,Machinery,1,Critical,Active,0
BRW_00049,Dalaja Balan,Maharashtra,Retail Trade,BR_16,LO_040,2022-12-11,500000,11.52,12,165858,44312,0.267,741,4,60,Regular,Property,0,Critical,Stressed,0
BRW_00050,Tanvi Desai,Telangana,Retail Trade,BR_18,LO_027,2022-04-15,1500000,11.57,24,221481,70309,0.317,623,1,0,Regular,Machinery,0,Amber,Active,0
BRW_00051,Udarsh Dhar,Delhi,Chemicals,BR_09,LO_006,2022-04-05,1000000,17.16,48,278147,28937,0.104,623,0,0,Regular,Inventory,0,Amber,Active,0
BRW_00052,Tejas Kata,Uttar Pradesh,Retail Trade,BR_04,LO_021,2023-01-25,750000,13.32,18,117642,46197,0.393,606,5,0,Irregular,Property,0,Red,Defaulted,1
