borrower_id,borrower_name,state,sector,branch_id,loan_officer_id,disbursal_date,loan_amount,interest_rate,tenure_months,monthly_income,emi_amount,emi_to_income_ratio,credit_score,bounce_count_6m,dpd_current,gst_filing,collateral_type,prior_defaults,risk_category,loan_status,default,loan_age_months,credit_bucket,emi_stress_flag,high_bounce_flag,dpd_bucket,loan_size_cat,pd_score,predicted_risk
BRW_00001,Ati Borra,Punjab,Chemicals,BR_05,LO_002,2023-10-17,1000000,15.06,36,241375.0,34694.0,0.144,680,1,0,Non-Filer,Unsecured,0,Critical,Active,0,14,Fair,0,0,Current,Small,0.827,Red
BRW_00002,Wahab Loyal,West Bengal,Food & Beverage,BR_17,LO_026,2022-04-25,1500000,16.55,24,495439.0,73839.0,0.149,762,6,90,Non-Filer,Property,0,Critical,NPA,1,32,Excellent,0,1,DPD 61-90,Medium,0.946,Critical
BRW_00003,Yash Sen,Maharashtra,Construction,BR_11,LO_001,2022-01-26,5000000,13.97,60,937809.0,116263.0,0.124,670,6,15,Irregular,Gold,1,Critical,Active,0,35,Fair,0,1,DPD 1-30,Large,0.7373,Red
BRW_00004,Advay Deep,Tamil Nadu,Chemicals,BR_09,LO_028,2024-01-30,1000000,13.78,48,166155.0,27216.0,0.164,807,5,0,Regular,Property,1,Critical,Defaulted,1,11,Excellent,0,1,Current,Small,0.9503,Critical
BRW_00005,Peter Palan,Madhya Pradesh,Agri Processing,BR_20,LO_008,2022-10-09,10000000,14.81,48,3195283.0,277345.0,0.087,585,5,0,Regular,Property,0,Critical,Active,0,27,Poor,0,1,Current,Enterprise,0.8977,Critical
BRW_00006,Vinaya Date,Delhi,Electronics,BR_09,LO_031,2022-09-08,7500000,17.64,36,699719.0,269790.0,0.386,777,0,0,Irregular,Machinery,0,Green,Active,0,28,Excellent,0,0,Current,Enterprise,0.1157,Green
BRW_00007,Mahika Issac,Madhya Pradesh,Construction,BR_09,LO_039,2022-08-17,1500000,11.78,60,175236.0,33200.0,0.189,688,4,0,Regular,Machinery,2,Critical,Active,0,28,Good,0,1,Current,Medium,0.9155,Critical
BRW_00008,Jonathan Ahluwalia,Haryana,Construction,BR_10,LO_019,2022-05-23,500000,17.13,24,51124.0,24752.0,0.484,775,5,45,Regular,Machinery,0,Critical,Stressed,1,31,Excellent,0,1,DPD 31-60,Small,0.9286,Critical
BRW_00009,Karan Bava,Karnataka,Chemicals,BR_20,LO_013,2024-01-25,500000,14.08,48,153819.0,13683.0,0.089,793,1,0,Regular,Unsecured,0,Amber,Active,0,11,Excellent,0,0,Current,Small,0.3482,Green
BRW_00010,Ekbal Halder,Delhi,Auto Parts,BR_06,LO_016,2022-04-15,500000,17.48,12,41432.0,45716.0,1.103,619,1,15,Irregular,Inventory,1,Critical,Active,0,33,Poor,1,0,DPD 1-30,Small,0.5783,Amber
